drug	phenotype	max_phase_for_ind
CHEMBL621	D007319	Not Applicable
CHEMBL621	D001007	4
CHEMBL621	D003929	2
CHEMBL621	D003704	3
CHEMBL1219	D006471	3
CHEMBL1219	D010437	Not Applicable
CHEMBL1096562	D002294	2
CHEMBL1096562	D002578	1
CHEMBL1167	D010019	1
CHEMBL652	D001145	4
CHEMBL1469	D001932	2
CHEMBL9194	D003928	3
CHEMBL9194	D011471	3
CHEMBL589583	D006973	3
CHEMBL2110809	D001007	
CHEMBL315838	D001145	4
CHEMBL3833389	D010146	4
CHEMBL87493	D004827	4
CHEMBL87493	D009765	4
CHEMBL87493	D019970	1
CHEMBL87493	D004831	4
CHEMBL7010	D001289	
CHEMBL1196	D010146	3
CHEMBL753	D065630	2
CHEMBL1771	D001024	3
CHEMBL1771	D006976	2
CHEMBL1771	D011087	2
CHEMBL1771	D008180	1
CHEMBL1771	D002546	Not Applicable
CHEMBL1771	D002532	3
CHEMBL1771	D007383	2
CHEMBL1771	D006258	1
CHEMBL1771	D002537	3
CHEMBL564	D011618	4
CHEMBL633	D009202	Not Applicable
CHEMBL633	D001282	3
CHEMBL633	D001145	Not Applicable
CHEMBL633	D016757	3
CHEMBL633	D019142	2
CHEMBL1106	D006255	3
CHEMBL1106	D005132	4
CHEMBL1106	D012221	3
CHEMBL1201203	D019970	2
CHEMBL1201203	D013705	2
CHEMBL250270	D006973	Not Applicable
CHEMBL306700	D003866	4
CHEMBL2110900	D007172	3
CHEMBL2110900	D012735	3
CHEMBL14012	D015508	
CHEMBL1477036	D018589	2
CHEMBL459324	D006556	3
CHEMBL459324	D009293	3
CHEMBL87708	D003866	4
CHEMBL87543	D001145	
CHEMBL2110962	D009765	
CHEMBL1370446	D015508	
CHEMBL2010507	D008173	4
CHEMBL356359	D001281	2
CHEMBL356359	D006333	2
CHEMBL110094	D003866	3
CHEMBL2111030	D001007	3
CHEMBL2111030	D011618	4
CHEMBL2111030	D003704	3
CHEMBL88055	D008173	4
CHEMBL3989762	D001145	
CHEMBL2111066	D011537	
CHEMBL329203	D015508	
CHEMBL46399	D010146	4
CHEMBL208427	D053201	2
CHEMBL2111081	D054144	2
CHEMBL2111084	D055752	3
CHEMBL2111084	D002289	2
CHEMBL1672054	D007319	2
CHEMBL1672054	D020250	3
CHEMBL1672054	D053201	2
CHEMBL300138	D005910	2
CHEMBL300138	D015179	2
CHEMBL300138	D002292	2
CHEMBL300138	D055752	2
CHEMBL300138	D009101	2
CHEMBL300138	D010190	2
CHEMBL300138	D018316	1
CHEMBL255231	D003704	2
CHEMBL2111097	D006973	4
CHEMBL360328	D008107	1
CHEMBL360328	D019970	2
CHEMBL360328	D014029	2
CHEMBL360328	D019966	1
CHEMBL360328	D009293	2
CHEMBL1940832	D029424	2
CHEMBL408194	D015470	2
CHEMBL2111101	D011618	4
CHEMBL3707331	D020250	4
CHEMBL2111112	D001145	4
CHEMBL82301	D000163	3
CHEMBL469	D001943	3
CHEMBL469	D012216	4
CHEMBL469	D012178	2
CHEMBL469	D006261	3
CHEMBL469	D007249	4
CHEMBL673	D006973	4
CHEMBL575	D010019	1
CHEMBL314437	D010146	4
CHEMBL502	D012871	1
CHEMBL502	D020521	3
CHEMBL502	D019970	2
CHEMBL502	D002659	2
CHEMBL502	D014029	2
CHEMBL502	D001007	3
CHEMBL502	D013494	2
CHEMBL178	D015464	1
CHEMBL178	D000753	3
CHEMBL178	D007945	4
CHEMBL178	D008228	Not Applicable
CHEMBL1077	D008268	2
CHEMBL651	D019970	3
CHEMBL651	D006526	1
CHEMBL651	D010146	4
CHEMBL651	D019966	Not Applicable
CHEMBL651	D047928	1
CHEMBL651	D006556	4
CHEMBL651	D012600	3
CHEMBL651	D009293	4
CHEMBL651	D009437	3
CHEMBL651	D009357	2
CHEMBL809	D009190	1
CHEMBL809	D015470	1
CHEMBL809	D001714	Not Applicable
CHEMBL809	D005909	1
CHEMBL809	D009765	1
CHEMBL809	D019970	2
CHEMBL809	D006526	1
CHEMBL809	D002659	2
CHEMBL809	D001321	3
CHEMBL809	D003866	4
CHEMBL809	D019966	Not Applicable
CHEMBL809	D009771	Not Applicable
CHEMBL809	D019964	2
CHEMBL809	D007319	Not Applicable
CHEMBL809	D001007	3
CHEMBL809	D003047	2
CHEMBL809	D016919	3
CHEMBL809	D019052	2
CHEMBL809	D000072861	4
CHEMBL809	D003704	3
CHEMBL809	D011537	2
CHEMBL312448	D005132	4
CHEMBL312448	D003139	3
CHEMBL312448	D015508	4
CHEMBL1213553	D008288	3
CHEMBL1213553	D016778	3
CHEMBL1213553	D016780	3
CHEMBL2111152	D001289	
CHEMBL1697851	D011618	4
CHEMBL1743259	D003866	
CHEMBL32573	D015508	
CHEMBL17350	D020521	2
CHEMBL513301	D006973	
CHEMBL1712170	D003371	
CHEMBL916	D009203	Not Applicable
CHEMBL916	D054058	3
CHEMBL916	D013927	4
CHEMBL844	D003930	2
CHEMBL844	D015352	3
CHEMBL1457	D003371	4
CHEMBL1396	D008175	Not Applicable
CHEMBL1396	D019970	2
CHEMBL1396	D019966	Not Applicable
CHEMBL1396	D000428	2
CHEMBL1396	D019969	2
CHEMBL1396	D011618	4
CHEMBL1396	D054058	3
CHEMBL1396	D017827	2
CHEMBL95889	D009765	2
CHEMBL95889	D006526	2
CHEMBL95889	D019698	1
CHEMBL95889	D007248	1
CHEMBL1201229	D005901	4
CHEMBL1231700	D020521	3
CHEMBL12610	D012216	4
CHEMBL12610	D014627	4
CHEMBL12610	D018771	4
CHEMBL12610	D063806	4
CHEMBL511142	D006526	1
CHEMBL511142	D009021	3
CHEMBL511142	D013375	3
CHEMBL511142	D000070636	2
CHEMBL1201319	D011225	3
CHEMBL1201319	D007022	4
CHEMBL1201264	D001750	1
CHEMBL425	D013167	2
CHEMBL160519	D008173	3
CHEMBL284092	D019970	2
CHEMBL284092	D003866	2
CHEMBL441	D012772	3
CHEMBL814	D001321	3
CHEMBL814	D003866	4
CHEMBL814	D001007	3
CHEMBL814	D001010	3
CHEMBL814	D000072861	3
CHEMBL814	D003704	3
CHEMBL1437	D007022	Not Applicable
CHEMBL1437	D007024	1
CHEMBL1437	D012772	3
CHEMBL1437	D060825	2
CHEMBL1437	D018805	4
CHEMBL1437	D007249	1
CHEMBL461101	D009190	2
CHEMBL461101	D012516	1
CHEMBL461101	D009101	1
CHEMBL461101	D006086	2
CHEMBL1186894	D009101	1
CHEMBL1186894	D012509	2
CHEMBL1422	D006528	1
CHEMBL1422	D011236	2
CHEMBL1201222	D001714	3
CHEMBL1201222	D019970	2
CHEMBL1201222	D019969	1
CHEMBL1118	D019698	2
CHEMBL477772	D008223	1
CHEMBL477772	D011565	1
CHEMBL477772	D010190	2
CHEMBL477772	D018234	2
CHEMBL477772	D018358	2
CHEMBL1186579	D009293	1
CHEMBL1186579	D018589	2
CHEMBL1201772	D001281	3
CHEMBL1201772	D015658	1
CHEMBL1615933	D003876	2
CHEMBL1615933	D014846	2
CHEMBL1615933	D000152	2
CHEMBL1615933	D003218	2
CHEMBL1615933	D012393	3
CHEMBL170988	D003920	4
CHEMBL170988	D008545	1
CHEMBL1908841	D012004	2
CHEMBL787	D001172	3
CHEMBL787	D009101	2
CHEMBL1538	D019698	2
CHEMBL1538	D006505	1
CHEMBL1655	D019048	3
CHEMBL1655	D050723	3
CHEMBL1655	D059373	3
CHEMBL766	D010019	1
CHEMBL766	D014552	4
CHEMBL766	D018410	3
CHEMBL766	D053717	3
CHEMBL1594	D006333	2
CHEMBL1359	D006069	3
CHEMBL1359	D011014	4
CHEMBL1359	D051436	2
CHEMBL1359	D001064	Not Applicable
CHEMBL1359	D004716	4
CHEMBL1683590	D006394	2
CHEMBL1683590	D058922	2
CHEMBL1683590	D061325	2
CHEMBL314854	D005909	1
CHEMBL314854	D001254	1
CHEMBL314854	D020277	3
CHEMBL2111187	D012509	1
CHEMBL2219422	D009101	1
CHEMBL2219422	D006646	2
CHEMBL2219425	D011618	1
CHEMBL2219418	D009293	2
CHEMBL2109355	D006528	1
CHEMBL2220442	D001024	2
CHEMBL2220442	D016736	2
CHEMBL2220442	D006526	2
CHEMBL2220442	D019698	2
CHEMBL2220442	D052439	3
CHEMBL981	D008527	2
CHEMBL981	D015228	4
CHEMBL1256786	D008173	4
CHEMBL118865	D001714	1
CHEMBL1237044	D006620	2
CHEMBL1237044	D009293	3
CHEMBL1237044	D005356	3
CHEMBL1237044	D009437	3
CHEMBL1237044	D013375	2
CHEMBL1237044	D003929	3
CHEMBL2220384	D010146	
CHEMBL3989843	D003866	4
CHEMBL1615438	D006255	2
CHEMBL2221250	D010019	1
CHEMBL3039597	D010146	3
CHEMBL3039597	D016773	2
CHEMBL3039597	D008575	2
CHEMBL3039597	D002372	3
CHEMBL3039597	D005499	2
CHEMBL3039597	D017719	2
CHEMBL3039597	D053717	1
CHEMBL3039597	D004485	3
CHEMBL3039597	D018805	4
CHEMBL2221249	D010019	1
CHEMBL2221249	D011014	3
CHEMBL2221249	D018410	3
CHEMBL2097081	D009203	Not Applicable
CHEMBL2097081	D007022	Not Applicable
CHEMBL1201648	D001883	2
CHEMBL1201569	D001281	2
CHEMBL1201569	D002349	2
CHEMBL1201569	D002547	1
CHEMBL1201569	D003704	2
CHEMBL1201625	D009203	3
CHEMBL1201625	D006938	3
CHEMBL1201625	D017202	3
CHEMBL1201625	D052439	3
CHEMBL1201618	D003920	3
CHEMBL1201618	D007003	2
CHEMBL1201545	D016640	3
CHEMBL1201540	D006943	3
CHEMBL1201644	D003920	3
CHEMBL1201479	D003424	2
CHEMBL1201479	D003920	3
CHEMBL1201479	D003015	2
CHEMBL1201479	D015179	3
CHEMBL1201482	D015658	3
CHEMBL1201482	D006526	2
CHEMBL1201519	D003424	1
CHEMBL1201519	D001172	1
CHEMBL1201519	D006333	2
CHEMBL1201519	D020246	3
CHEMBL1201519	D020529	3
CHEMBL2146121	D007938	3
CHEMBL2146121	D008223	3
CHEMBL2146121	D011085	3
CHEMBL2146121	D001171	3
CHEMBL2146121	D010190	2
CHEMBL2146121	D006333	2
CHEMBL2146121	D006331	2
CHEMBL2146121	D003731	1
CHEMBL2146121	D050723	3
CHEMBL2146121	D006620	3
CHEMBL2146121	D015179	3
CHEMBL2146121	D010001	3
CHEMBL2146121	D006966	3
CHEMBL2146121	D001851	3
CHEMBL2146121	D006996	3
CHEMBL55643	D005909	2
CHEMBL1738	D007938	3
CHEMBL1738	D008223	3
CHEMBL1738	D012509	3
CHEMBL1738	D058922	3
CHEMBL1082407	D002277	2
CHEMBL1082407	D010190	1
CHEMBL1201247	D008593	3
CHEMBL1201247	D018567	1
CHEMBL1200662	D009190	2
CHEMBL852	D005910	1
CHEMBL852	D000686	2
CHEMBL255863	D012595	2
CHEMBL1200689	D020521	2
CHEMBL1200689	D016757	2
CHEMBL1200689	D017202	2
CHEMBL1200689	D015179	1
CHEMBL1200689	D018805	3
CHEMBL1200689	D012883	2
CHEMBL636	D007024	1
CHEMBL1201196	D002181	2
CHEMBL535	D015451	2
CHEMBL535	D018263	2
CHEMBL535	D009837	2
CHEMBL535	D001254	2
CHEMBL535	D018567	2
CHEMBL535	D058922	2
CHEMBL2017974	D016403	1
CHEMBL2017974	D055752	1
CHEMBL2017974	D001943	3
CHEMBL2017974	D015179	1
CHEMBL2146883	D015470	1
CHEMBL2146883	D013274	1
CHEMBL2146883	D009101	1
CHEMBL2146883	D002289	2
CHEMBL2146883	D003397	2
CHEMBL2146883	D015179	3
CHEMBL2364611	D001943	1
CHEMBL2364611	D005909	2
CHEMBL2364611	D010190	1
CHEMBL2364611	D012004	2
CHEMBL2216870	D015470	1
CHEMBL2216870	D016403	2
CHEMBL2216870	D008223	3
CHEMBL2216870	D009101	1
CHEMBL2216870	D000686	2
CHEMBL2364612	D005902	4
CHEMBL2364612	D009798	4
CHEMBL2374220	D008223	2
CHEMBL2374220	D019694	2
CHEMBL189963	D000230	2
CHEMBL189963	D005909	1
CHEMBL189963	D009837	2
CHEMBL189963	D008545	2
CHEMBL189963	D009101	1
CHEMBL189963	D021441	1
CHEMBL189963	D013953	2
CHEMBL189963	D002289	2
CHEMBL189963	D006258	1
CHEMBL189963	D018358	2
CHEMBL1231160	D009190	2
CHEMBL1231160	D054198	1
CHEMBL1231160	D015470	3
CHEMBL1231160	D016403	1
CHEMBL1231160	D008654	1
CHEMBL1231160	D002289	2
CHEMBL1231160	D015477	2
CHEMBL2364628	D015451	1
CHEMBL2364628	D001943	1
CHEMBL2364628	D008223	1
CHEMBL2364628	D009101	1
CHEMBL1812161	D006317	2
CHEMBL2013174	D019698	2
CHEMBL3545184	D051436	4
CHEMBL2109389	D002289	2
CHEMBL2109389	D006258	1
CHEMBL2109389	D015179	2
CHEMBL2109500	D015451	2
CHEMBL2109500	D002294	2
CHEMBL2109500	D009101	1
CHEMBL2109664	D003424	2
CHEMBL2109664	D001172	2
CHEMBL2109664	D003093	2
CHEMBL2364648	D001172	2
CHEMBL2364648	D015535	4
CHEMBL2364652	D010190	1
CHEMBL2364653	D001172	2
CHEMBL2364653	D008181	3
CHEMBL2364653	D012594	1
CHEMBL2364655	D054058	3
CHEMBL2109387	D002289	2
CHEMBL2364665	D016585	3
CHEMBL1908906	D060825	4
CHEMBL3039522	D009190	1
CHEMBL3039522	D019694	1
CHEMBL3039522	D005185	2
CHEMBL2178579	D029424	1
CHEMBL3039520	D019966	1
CHEMBL3039503	D019698	2
CHEMBL502835	D008545	2
CHEMBL502835	D002294	2
CHEMBL502835	D001254	2
CHEMBL502835	D009837	2
CHEMBL502835	D010051	3
CHEMBL502835	D015179	3
CHEMBL502835	D017563	3
CHEMBL502835	D006258	2
CHEMBL502835	D005833	1
CHEMBL502835	D018316	2
CHEMBL3039517	D002289	2
CHEMBL3039517	D010190	1
CHEMBL2178578	D002446	2
CHEMBL3039521	D001943	2
CHEMBL3039558	D005909	2
CHEMBL3039558	D001254	2
CHEMBL3039558	D009837	2
CHEMBL3039558	D002289	2
CHEMBL3039558	D015179	2
CHEMBL2109540	D003920	3
CHEMBL2109540	D050197	3
CHEMBL2109384	D010190	2
CHEMBL2109384	D015179	1
CHEMBL3039547	D006528	3
CHEMBL3039547	D015179	2
CHEMBL3039547	D002292	1
CHEMBL3039547	D008545	1
CHEMBL3039550	D011471	2
CHEMBL1738797	D005909	1
CHEMBL1922094	D016889	2
CHEMBL203321	D019142	2
CHEMBL203321	D000258	2
CHEMBL203321	D000257	3
CHEMBL124363	D015658	2
CHEMBL1879463	D002295	2
CHEMBL3039502	D008224	4
CHEMBL3039502	D016411	2
CHEMBL3039514	D006526	3
CHEMBL2177390	D011471	3
CHEMBL2177390	D001943	3
CHEMBL3039519	D019698	2
CHEMBL3039507	D003920	4
CHEMBL2142592	D055752	1
CHEMBL3039523	D005909	2
CHEMBL4297163	D002289	2
CHEMBL2109388	D002289	1
CHEMBL3039556	D002294	2
CHEMBL3039544	D009101	2
CHEMBL3039542	D006333	1
CHEMBL3039545	D013789	2
CHEMBL3039539	D015451	1
CHEMBL2109667	D010190	2
CHEMBL2109667	D015179	2
CHEMBL3039543	D015451	1
CHEMBL3039543	D015470	1
CHEMBL3039543	D007938	1
CHEMBL3039543	D009101	1
CHEMBL305666	D055752	2
CHEMBL305666	D010051	2
CHEMBL305666	D006258	2
CHEMBL225304	D003930	1
CHEMBL2063090	D006526	3
CHEMBL354077	D001906	2
CHEMBL1206245	D054198	1
CHEMBL2403238	D039682	1
CHEMBL2403108	D017728	2
CHEMBL3137312	D006526	4
CHEMBL3137312	D019694	2
CHEMBL3137331	D010190	1
CHEMBL406393	D008067	2
CHEMBL117785	D002819	4
CHEMBL2151572	D011618	1
CHEMBL2151572	D003704	3
CHEMBL3137314	D006976	3
CHEMBL221722	D019142	2
CHEMBL3137332	D008107	1
CHEMBL592445	D009190	2
CHEMBL592445	D002289	1
CHEMBL2043437	D009190	1
CHEMBL571209	D011471	2
CHEMBL571209	D015470	1
CHEMBL571209	D008545	2
CHEMBL571209	D008527	1
CHEMBL571209	D002289	1
CHEMBL571209	D004806	1
CHEMBL571209	D018316	1
CHEMBL1183349	D019337	1
CHEMBL252164	D015179	1
CHEMBL252164	D008223	2
CHEMBL252164	D002294	1
CHEMBL252164	D009101	1
CHEMBL252164	D002289	2
CHEMBL252164	D009196	2
CHEMBL252164	D012004	1
CHEMBL3087515	D019970	2
CHEMBL3087515	D005764	1
CHEMBL3087515	D002819	2
CHEMBL3087515	D000428	1
CHEMBL521686	D005909	2
CHEMBL521686	D008223	1
CHEMBL521686	D055752	3
CHEMBL521686	D006976	1
CHEMBL521686	D016889	3
CHEMBL521686	D006258	1
CHEMBL521686	D058922	1
CHEMBL521686	D015179	3
CHEMBL3127326	D006526	4
CHEMBL3127326	D019694	2
CHEMBL3137327	D015228	3
CHEMBL2035187	D015451	1
CHEMBL2035187	D006689	2
CHEMBL2035187	D015470	2
CHEMBL2035187	D002289	1
CHEMBL2035187	D009196	2
CHEMBL2035187	D020522	2
CHEMBL2035187	D015179	2
CHEMBL3137308	D008107	1
CHEMBL166863	D012216	3
CHEMBL2338329	D009190	3
CHEMBL3137320	D015470	1
CHEMBL3137320	D002294	2
CHEMBL3137320	D002289	2
CHEMBL3137320	D061325	2
CHEMBL3137320	D064726	2
CHEMBL235668	D015179	4
CHEMBL235668	D012004	2
CHEMBL3137336	D015470	2
CHEMBL3137336	D001943	2
CHEMBL3137336	D008545	2
CHEMBL3137336	D009101	2
CHEMBL3137309	D002051	1
CHEMBL3137309	D015464	2
CHEMBL3137309	D016403	2
CHEMBL3137309	D007938	1
CHEMBL3137309	D008223	2
CHEMBL3137309	D020522	3
CHEMBL3137349	D006938	3
CHEMBL3137352	D006937	1
CHEMBL3137339	D015470	2
CHEMBL3137341	D008545	3
CHEMBL3137338	D018357	2
CHEMBL3137342	D012516	2
CHEMBL3137342	D055752	2
CHEMBL3137350	D009976	2
CHEMBL3137343	D015456	1
CHEMBL3137343	D015451	2
CHEMBL3137343	D011471	Not Applicable
CHEMBL3137343	D009190	2
CHEMBL3137343	D003528	2
CHEMBL3137343	D016403	2
CHEMBL3137343	D008223	2
CHEMBL3137343	D009447	1
CHEMBL3137343	D012509	2
CHEMBL3137343	D009442	2
CHEMBL3137343	D015658	1
CHEMBL3137343	D002583	3
CHEMBL3137343	D016410	1
CHEMBL3137343	D008577	2
CHEMBL3137343	D014565	3
CHEMBL3137343	D009062	2
CHEMBL3137343	D001661	2
CHEMBL3137343	D006258	3
CHEMBL3137343	D018281	2
CHEMBL3137343	D008228	2
CHEMBL3137343	D018567	2
CHEMBL3137343	D018234	2
CHEMBL3137343	D013945	2
CHEMBL3137343	D012004	2
CHEMBL3137343	D012751	2
CHEMBL3137343	D058922	2
CHEMBL3137343	D009182	2
CHEMBL3137343	D018358	2
CHEMBL3137343	D015179	3
CHEMBL3137346	D008545	2
CHEMBL3137346	D008228	2
CHEMBL3137346	D012509	2
CHEMBL3137347	D008223	1
CHEMBL3137347	D009837	1
CHEMBL3137347	D002292	1
CHEMBL3137347	D008545	2
CHEMBL3137340	D002289	2
CHEMBL3137345	D006258	2
CHEMBL3137345	D015179	2
CHEMBL464792	D005909	3
CHEMBL464792	D007383	1
CHEMBL3301610	D012512	1
CHEMBL3301610	D008545	2
CHEMBL3301610	D005909	2
CHEMBL3301610	D008654	2
CHEMBL3301610	D009447	1
CHEMBL3301610	D012516	1
CHEMBL3301610	D021441	2
CHEMBL3301610	D010190	1
CHEMBL3301610	D012208	1
CHEMBL3301610	D001932	2
CHEMBL3301610	D006258	2
CHEMBL3301610	D018335	1
CHEMBL3301610	D008228	1
CHEMBL3301610	D015179	1
CHEMBL354077	D009157	3
CHEMBL3187723	D002277	1
CHEMBL3187723	D007938	1
CHEMBL3187723	D001172	2
CHEMBL3187723	D009101	2
CHEMBL3187723	D002289	2
CHEMBL3187723	D015179	2
CHEMBL3301621	D001289	3
CHEMBL205596	D005234	2
CHEMBL3301612	D009101	2
CHEMBL3301612	D015179	2
CHEMBL3301607	D012859	2
CHEMBL3301607	D015535	3
CHEMBL3301607	D008178	2
CHEMBL3301607	D013167	3
CHEMBL3301607	D014605	2
CHEMBL3301622	D002289	1
CHEMBL1241951	D003586	4
CHEMBL3301618	D002294	2
CHEMBL3301618	D008223	1
CHEMBL3301618	D014062	1
CHEMBL3301618	D018289	1
CHEMBL1214827	D001943	1
CHEMBL1214827	D002289	1
CHEMBL538867	D002813	2
CHEMBL3112741	D018410	3
CHEMBL3301625	D015451	1
CHEMBL3301625	D016403	1
CHEMBL3301625	D007938	1
CHEMBL2387080	D001943	3
CHEMBL3301620	D015658	1
CHEMBL3301585	D016403	1
CHEMBL3301582	D016403	4
CHEMBL3301582	D008223	1
CHEMBL3301582	D008228	3
CHEMBL3301583	D006470	2
CHEMBL3301573	D015470	3
CHEMBL3301574	D015456	2
CHEMBL3301574	D016403	2
CHEMBL3301581	D015663	3
CHEMBL3301587	D015451	1
CHEMBL3301587	D009190	2
CHEMBL3301587	D015470	2
CHEMBL3301587	D000230	2
CHEMBL3301587	D001749	4
CHEMBL3301587	D018262	2
CHEMBL3301587	D002292	3
CHEMBL3301587	D009373	2
CHEMBL3301587	D008223	2
CHEMBL3301587	D012509	2
CHEMBL3301587	D055752	4
CHEMBL3301587	D011087	1
CHEMBL3301587	D016410	1
CHEMBL3301587	D018287	2
CHEMBL3301587	D014565	3
CHEMBL3301587	D001661	3
CHEMBL3301587	D006258	2
CHEMBL3301587	D004938	3
CHEMBL3301587	D008228	2
CHEMBL3301587	D010954	1
CHEMBL3301587	D012004	2
CHEMBL3301587	D009959	3
CHEMBL3301570	D010190	1
CHEMBL3301588	D055752	1
CHEMBL3301588	D010190	1
CHEMBL1384	D018088	2
CHEMBL501259	D007333	2
CHEMBL507870	D016470	3
CHEMBL507870	D051436	1
CHEMBL507870	D013207	3
CHEMBL3545113	D065626	2
CHEMBL3545239	D007889	1
CHEMBL3261331	D006938	2
CHEMBL4208229	D054198	1
CHEMBL4208229	D015464	4
CHEMBL3545420	D008228	1
CHEMBL3545048	D015451	1
CHEMBL3545048	D016403	1
CHEMBL3545048	D020522	1
CHEMBL4297187	D018281	2
CHEMBL4297188	D008223	1
CHEMBL3991932	D009190	1
CHEMBL4285417	D015451	1
CHEMBL4285417	D002294	2
CHEMBL4285417	D001943	2
CHEMBL4285417	D055752	2
CHEMBL4285417	D002289	3
CHEMBL3545179	D005909	1
CHEMBL1801204	D006528	1
CHEMBL1801204	D005909	1
CHEMBL1801204	D008223	1
CHEMBL1801204	D001254	1
CHEMBL1801204	D009837	1
CHEMBL296468	D015451	1
CHEMBL296468	D009101	1
CHEMBL296468	D020522	1
CHEMBL3586573	D015451	1
CHEMBL3586573	D002294	1
CHEMBL3586573	D005909	1
CHEMBL3586573	D012516	1
CHEMBL3545427	D002292	3
CHEMBL483321	D001943	2
CHEMBL5095033	D006528	1
CHEMBL5095033	D055752	3
CHEMBL5095033	D008228	1
CHEMBL598797	D002289	1
CHEMBL598797	D006258	1
CHEMBL3622533	D008223	2
CHEMBL3545248	D015179	1
CHEMBL3188551	D013274	1
CHEMBL3188551	D008545	1
CHEMBL3544968	D029424	1
CHEMBL3545121	D005909	1
CHEMBL3544979	D007022	1
CHEMBL67279	D015451	2
CHEMBL3544913	D009437	2
CHEMBL3544911	D002294	1
CHEMBL3544911	D002289	1
CHEMBL3544911	D015179	1
CHEMBL3544911	D006258	1
CHEMBL3545123	D008107	1
CHEMBL3545123	D006526	3
CHEMBL3545123	D019698	4
CHEMBL3353410	D000230	2
CHEMBL3353410	D002294	2
CHEMBL3545363	D008107	1
CHEMBL3545363	D006526	3
CHEMBL3545363	D019698	4
CHEMBL3545061	D011470	3
CHEMBL3545122	D003248	2
CHEMBL2105737	D009101	2
CHEMBL2105737	D010190	1
CHEMBL3545132	D001943	2
CHEMBL3545374	D055948	2
CHEMBL3545191	D008659	1
CHEMBL3545191	D006937	2
CHEMBL260046	D005909	2
CHEMBL260046	D010190	1
CHEMBL260046	D012509	2
CHEMBL3391662	D006526	4
CHEMBL3391662	D019694	2
CHEMBL3360203	D005909	1
CHEMBL3360203	D008223	1
CHEMBL3360203	D002289	1
CHEMBL3360203	D016889	2
CHEMBL3545366	D005909	1
CHEMBL3545366	D002289	1
CHEMBL3545307	D008545	1
CHEMBL3545307	D010190	1
CHEMBL3545307	D020522	1
CHEMBL3545307	D015179	1
CHEMBL3544983	D016891	2
CHEMBL3545262	D064726	4
CHEMBL3544993	D006528	3
CHEMBL3544993	D005909	2
CHEMBL3544993	D001254	2
CHEMBL3544993	D004806	1
CHEMBL2109295	D015179	1
CHEMBL3545131	D019337	1
CHEMBL3545190	D003233	3
CHEMBL3545190	D015352	3
CHEMBL2109457	D021183	2
CHEMBL3545316	D008268	2
CHEMBL3545371	D054198	1
CHEMBL3545371	D002051	1
CHEMBL3545371	D016403	2
CHEMBL3545371	D020522	1
CHEMBL3545370	D008228	1
CHEMBL3265032	D015451	2
CHEMBL3265032	D054198	1
CHEMBL3265032	D016403	2
CHEMBL3265032	D020522	2
CHEMBL2402737	D015470	3
CHEMBL2402737	D016403	1
CHEMBL2402737	D005909	1
CHEMBL2402737	D009101	1
CHEMBL2402737	D011087	2
CHEMBL2402737	D008228	1
CHEMBL3544977	D008107	1
CHEMBL3544977	D019698	2
CHEMBL3545185	D008224	2
CHEMBL3545185	D016411	1
CHEMBL3545185	D009101	4
CHEMBL3545185	D019337	1
CHEMBL3545185	D002289	1
CHEMBL3545185	D015179	1
CHEMBL3545185	D013945	2
CHEMBL3545185	D012004	1
CHEMBL3545185	D012509	1
CHEMBL3545259	D015179	2
CHEMBL3545062	D006526	2
CHEMBL3218576	D008224	4
CHEMBL3218576	D001943	2
CHEMBL3218576	D008223	1
CHEMBL3218576	D002294	1
CHEMBL3218576	D005706	2
CHEMBL3218576	D018281	2
CHEMBL3544981	D015352	3
CHEMBL3545065	D005901	2
CHEMBL3544984	D003876	3
CHEMBL3544984	D018589	3
CHEMBL3544984	D000072861	2
CHEMBL3544984	D011537	1
CHEMBL3121849	D019698	2
CHEMBL3121849	D006526	2
CHEMBL4594250	D005902	4
CHEMBL4594250	D009798	4
CHEMBL4594250	D005901	4
CHEMBL64130	D006528	1
CHEMBL64130	D005909	1
CHEMBL64130	D021441	3
CHEMBL64130	D002289	3
CHEMBL64130	D015179	3
CHEMBL2220486	D055752	2
CHEMBL2220486	D002289	2
CHEMBL3545367	D008107	1
CHEMBL3544916	D006528	2
CHEMBL3544916	D009190	2
CHEMBL3544916	D002292	1
CHEMBL3544916	D009373	1
CHEMBL3544916	D055752	2
CHEMBL3544916	D008545	1
CHEMBL3544916	D009196	2
CHEMBL2347655	D009190	1
CHEMBL2347655	D015470	1
CHEMBL2347655	D009101	2
CHEMBL2347655	D007952	1
CHEMBL3545369	D002294	2
CHEMBL3545369	D015470	1
CHEMBL3545369	D008545	3
CHEMBL3545369	D008223	1
CHEMBL3545369	D002292	3
CHEMBL3545369	D012509	2
CHEMBL3545369	D055752	2
CHEMBL3545369	D002289	1
CHEMBL3545369	D006258	3
CHEMBL3545369	D013945	2
CHEMBL3545369	D016889	2
CHEMBL3544919	D054556	2
CHEMBL3545313	D006937	3
CHEMBL3545313	D052439	2
CHEMBL3545076	D002292	1
CHEMBL3545076	D002289	1
CHEMBL3545134	D008223	1
CHEMBL3545195	D008545	1
CHEMBL3545195	D002289	1
CHEMBL3545195	D015179	1
CHEMBL4297181	D008654	1
CHEMBL4297181	D021441	2
CHEMBL4297181	D002289	2
CHEMBL4297181	D001943	1
CHEMBL4297181	D015179	1
CHEMBL4297181	D008228	1
CHEMBL3545320	D001943	1
CHEMBL4213970	D015179	1
CHEMBL3935857	D002292	2
