drug	phenotype	max_phase_for_ind
CHEMBL601719	D005909	1
CHEMBL601719	D002289	4
CHEMBL160	D003876	3
CHEMBL160	D006526	2
CHEMBL160	D008223	3
CHEMBL160	D000741	3
CHEMBL160	D011625	2
CHEMBL803	D054198	4
CHEMBL803	D015470	4
CHEMBL539697	D001281	4
CHEMBL1201605	D011565	2
CHEMBL1201460	D020521	3
CHEMBL1201566	D000740	Not Applicable
CHEMBL1201566	D016403	3
CHEMBL1201566	D009190	3
CHEMBL1421	D015451	2
CHEMBL1421	D007938	4
CHEMBL1421	D009101	2
CHEMBL1421	D008228	2
CHEMBL1421	D002289	2
CHEMBL1421	D010190	2
CHEMBL1421	D002294	2
CHEMBL1201129	D015470	3
CHEMBL1201129	D009190	4
CHEMBL1237023	D001024	2
CHEMBL1237023	D001943	4
CHEMBL1237023	D010024	Not Applicable
CHEMBL1237023	D015663	3
CHEMBL1200733	D011183	1
CHEMBL1172	D006255	4
CHEMBL1172	D014581	4
CHEMBL1118	D003866	4
CHEMBL384467	D009101	3
CHEMBL384467	D010146	3
CHEMBL384467	D011471	Not Applicable
CHEMBL612	D001289	Not Applicable
CHEMBL139	D055623	4
CHEMBL139	D009135	3
CHEMBL139	D020370	3
CHEMBL139	D010146	4
CHEMBL932	D001172	2
CHEMBL92	D001943	4
CHEMBL92	D002277	3
CHEMBL92	D013274	4
CHEMBL92	D009303	3
CHEMBL92	D002289	4
CHEMBL92	D011471	4
CHEMBL92	D002294	3
CHEMBL92	D006258	4
CHEMBL1200810	D011565	2
CHEMBL53463	D001943	Not Applicable
CHEMBL53463	D008223	3
CHEMBL53463	D012509	4
CHEMBL1200969	D011471	Not Applicable
CHEMBL1201828	D056648	2
CHEMBL1201575	D011565	3
CHEMBL2159122	D043183	4
CHEMBL578	D006973	Not Applicable
CHEMBL1201476	D054556	3
CHEMBL1082407	D011471	4
CHEMBL1095097	D009202	Not Applicable
CHEMBL1095097	D051436	3
CHEMBL1095097	D003928	2
CHEMBL1095097	D006333	Not Applicable
CHEMBL1095097	D006973	Not Applicable
CHEMBL1201565	D000740	4
CHEMBL1201565	D051436	4
CHEMBL1201565	D009203	2
CHEMBL1683590	D001943	4
CHEMBL553	D001943	Not Applicable
CHEMBL553	D002277	3
CHEMBL553	D002294	Not Applicable
CHEMBL553	D002289	4
CHEMBL87992	D004827	4
CHEMBL87992	D004828	3
CHEMBL1201320	D005764	Not Applicable
CHEMBL135	D001943	Not Applicable
CHEMBL135	D008593	3
CHEMBL1511	D007246	3
CHEMBL1201649	D011471	2
CHEMBL1522	D007319	Not Applicable
CHEMBL1201572	D006086	3
CHEMBL1201572	D013167	Not Applicable
CHEMBL1201572	D001171	4
CHEMBL1201572	D003882	2
CHEMBL1201572	D011565	Not Applicable
CHEMBL1201572	D001172	Not Applicable
CHEMBL696	D004827	4
CHEMBL622	D012216	4
CHEMBL681	D006973	3
CHEMBL1531	D011470	2
CHEMBL44657	D054198	3
CHEMBL1200645	D008223	2
CHEMBL1908360	D054058	1
CHEMBL1908360	D003528	2
