drug	mesh_id
CHEMBL17564	D008173
CHEMBL17564	D001989
CHEMBL17564	D003681
CHEMBL17564	D007415
CHEMBL414400	D000380
CHEMBL414400	D000707
CHEMBL414400	D000741
CHEMBL414400	D000799
CHEMBL414400	D003221
CHEMBL414400	D003490
CHEMBL414400	D003693
CHEMBL414400	D003872
CHEMBL414400	D003967
CHEMBL414400	D004760
CHEMBL414400	D005076
CHEMBL414400	D005128
CHEMBL414400	D005334
CHEMBL414400	D005928
CHEMBL414400	D006261
CHEMBL414400	D006402
CHEMBL414400	D006967
CHEMBL414400	D007154
CHEMBL414400	D007938
CHEMBL414400	D007970
CHEMBL414400	D006457
CHEMBL414400	D009325
CHEMBL414400	D009422
CHEMBL414400	D009443
CHEMBL414400	D010198
CHEMBL414400	D011537
CHEMBL414400	D013280
CHEMBL414400	D013921
CHEMBL414400	D014435
CHEMBL414400	D014581
CHEMBL414400	D014839
CHEMBL414400	D009877
CHEMBL414400	D012871
CHEMBL414400	D012769
CHEMBL414400	D012120
CHEMBL414400	D005767
CHEMBL414400	D010146
CHEMBL414400	D004347
CHEMBL920	D000075662
CHEMBL1261	D001247
CHEMBL1261	D003221
CHEMBL1261	D003967
CHEMBL1261	D006947
CHEMBL1261	D006996
CHEMBL1261	D007022
CHEMBL1261	D009325
CHEMBL1261	D010292
CHEMBL1261	D014839
CHEMBL1261	D023341
CHEMBL1261	D057565
CHEMBL1261	D004401
CHEMBL1261	D011041
CHEMBL1261	D008107
CHEMBL424	D001249
CHEMBL424	D003221
CHEMBL424	D003248
CHEMBL424	D003967
CHEMBL424	D004244
CHEMBL424	D000077260
CHEMBL424	D004381
CHEMBL424	D004408
CHEMBL424	D004415
CHEMBL424	D004438
CHEMBL424	D004487
CHEMBL424	D004844
CHEMBL424	D004892
CHEMBL424	D004941
CHEMBL424	D005076
CHEMBL424	D003872
CHEMBL424	D006212
CHEMBL424	D006261
CHEMBL424	D006505
CHEMBL424	D053609
CHEMBL424	D009325
CHEMBL424	D011537
CHEMBL424	D013276
CHEMBL424	D014012
CHEMBL424	D004890
CHEMBL424	D014581
CHEMBL424	D014839
CHEMBL424	D015430
CHEMBL424	D010146
CHEMBL424	D034381
CHEMBL424	D003638
CHEMBL894	D015746
CHEMBL894	D000374
CHEMBL894	D000505
CHEMBL894	D000550
CHEMBL894	D000568
CHEMBL894	D000647
CHEMBL894	D000707
CHEMBL894	D000740
CHEMBL894	D000786
CHEMBL894	D000799
CHEMBL894	D001007
CHEMBL894	D001037
CHEMBL894	D001145
CHEMBL894	D018771
CHEMBL894	D001168
CHEMBL894	D001247
CHEMBL894	D001249
CHEMBL894	D001259
CHEMBL894	D019567
CHEMBL894	D001416
CHEMBL894	D001523
CHEMBL894	D001714
CHEMBL894	D001924
CHEMBL894	D001943
CHEMBL894	D001941
CHEMBL894	D001986
CHEMBL894	D001991
CHEMBL894	D002012
CHEMBL894	D002062
CHEMBL894	D002318
CHEMBL894	D002349
CHEMBL894	D019547
CHEMBL894	D002637
CHEMBL894	D003092
CHEMBL894	D003128
CHEMBL894	D003141
CHEMBL894	D003221
CHEMBL894	D003231
CHEMBL894	D003240
CHEMBL894	D003248
CHEMBL894	D003288
CHEMBL894	D003371
CHEMBL894	D003556
CHEMBL894	D003560
CHEMBL894	D003638
CHEMBL894	D007989
CHEMBL894	D003680
CHEMBL894	D003681
CHEMBL894	D003693
CHEMBL894	D003702
CHEMBL894	D003731
CHEMBL894	D003861
CHEMBL894	D003873
CHEMBL894	D003876
CHEMBL894	D003967
CHEMBL894	D004172
CHEMBL894	D004244
CHEMBL894	D019966
CHEMBL894	D004342
CHEMBL894	D010003
CHEMBL894	D004401
CHEMBL894	D004408
CHEMBL894	D020820
CHEMBL894	D004412
CHEMBL894	D004415
CHEMBL894	D004417
CHEMBL894	D053159
CHEMBL894	D004433
CHEMBL894	D004438
CHEMBL894	D004485
CHEMBL894	D004487
CHEMBL894	D004775
CHEMBL894	D004844
CHEMBL894	D004884
CHEMBL894	D004892
CHEMBL894	D004941
CHEMBL894	D005076
CHEMBL894	D003872
CHEMBL894	D001480
CHEMBL894	D005128
CHEMBL894	D005221
CHEMBL894	D005334
CHEMBL894	D021501
CHEMBL894	D005414
CHEMBL894	D005483
CHEMBL894	D005490
CHEMBL894	D005499
CHEMBL894	D005512
CHEMBL894	D005517
CHEMBL894	D005756
CHEMBL894	D005759
CHEMBL894	D005764
CHEMBL894	D005767
CHEMBL894	D006471
CHEMBL894	D005884
CHEMBL894	D005891
CHEMBL894	D015812
CHEMBL894	D005928
CHEMBL894	D006029
CHEMBL894	D006177
CHEMBL894	D006209
CHEMBL894	D006212
CHEMBL894	D006255
CHEMBL894	D006261
CHEMBL894	D006331
CHEMBL894	D006470
CHEMBL894	D006505
CHEMBL894	D006526
CHEMBL894	D006552
CHEMBL894	D006562
CHEMBL894	D006566
CHEMBL894	D006628
CHEMBL894	D006726
CHEMBL894	D006791
CHEMBL894	D006815
CHEMBL894	D006937
CHEMBL894	D006943
CHEMBL894	D006945
CHEMBL894	D006967
CHEMBL894	D006968
CHEMBL894	D006973
CHEMBL894	C536821
CHEMBL894	D006985
CHEMBL894	D006987
CHEMBL894	D007003
CHEMBL894	D007022
CHEMBL894	D007024
CHEMBL894	D007039
CHEMBL894	D007154
CHEMBL894	D007177
CHEMBL894	D007251
CHEMBL894	D007416
CHEMBL894	D007508
CHEMBL894	D007565
CHEMBL894	D015352
