drug	target
CHEMBL2108730	ENSG00000160712
CHEMBL41306	ENSG00000176884
CHEMBL41306	ENSG00000183454
CHEMBL41306	ENSG00000273079
CHEMBL41306	ENSG00000105464
CHEMBL41306	ENSG00000116032
CHEMBL41306	ENSG00000161509
CHEMBL41306	ENSG00000198785
CHEMBL1642	ENSG00000097007
CHEMBL941	ENSG00000097007
CHEMBL411	ENSG00000091831
CHEMBL514270	ENSG00000120088
CHEMBL4298097	ENSG00000113520
CHEMBL4297580	ENSG00000137033
CHEMBL2109465	ENSG00000169194
CHEMBL3039531	ENSG00000180871
CHEMBL575448	ENSG00000140443
CHEMBL1098	ENSG00000007314
CHEMBL766	ENSG00000015413
CHEMBL181954	ENSG00000186951
CHEMBL3545366	ENSG00000145675
CHEMBL3545366	ENSG00000051382
CHEMBL3545366	ENSG00000105851
CHEMBL3545366	ENSG00000121879
CHEMBL3545366	ENSG00000105647
CHEMBL3545366	ENSG00000171608
CHEMBL3545366	ENSG00000141506
CHEMBL3545366	ENSG00000117461
CHEMBL1631540	ENSG00000135312
CHEMBL3544974	ENSG00000102468
CHEMBL3187365	ENSG00000102468
CHEMBL384304	ENSG00000135446
CHEMBL3187723	ENSG00000126934
CHEMBL3989968	ENSG00000065989
CHEMBL3989968	ENSG00000113448
CHEMBL3989968	ENSG00000184588
CHEMBL3989968	ENSG00000105650
CHEMBL4594288	ENSG00000151067
CHEMBL4594288	ENSG00000081248
CHEMBL4594288	ENSG00000157388
CHEMBL4594288	ENSG00000102001
CHEMBL2111097	ENSG00000151067
CHEMBL2111097	ENSG00000081248
CHEMBL2111097	ENSG00000157388
CHEMBL2111097	ENSG00000102001
CHEMBL4650285	ENSG00000102882
CHEMBL4650285	ENSG00000100030
CHEMBL2093999	ENSG00000163399
CHEMBL2093999	ENSG00000129244
CHEMBL2093999	ENSG00000143153
CHEMBL2093999	ENSG00000018625
CHEMBL2093999	ENSG00000069849
CHEMBL2093999	ENSG00000105409
CHEMBL2093999	ENSG00000132681
CHEMBL2093999	ENSG00000137731
CHEMBL567303	ENSG00000181408
CHEMBL3545038	ENSG00000164129
CHEMBL290352	ENSG00000073803
CHEMBL551813	ENSG00000183134
CHEMBL436	ENSG00000085662
CHEMBL1200483	ENSG00000103546
CHEMBL1201208	ENSG00000103546
CHEMBL2108734	ENSG00000107165
CHEMBL2108313	ENSG00000112715
CHEMBL4297256	ENSG00000117594
CHEMBL1692	ENSG00000103546
CHEMBL11	ENSG00000103546
CHEMBL124660	ENSG00000122025
CHEMBL2104986	ENSG00000166736
CHEMBL2104986	ENSG00000186038
CHEMBL2104986	ENSG00000149305
CHEMBL2104986	ENSG00000186090
CHEMBL2104986	ENSG00000178084
CHEMBL1542	ENSG00000128059
CHEMBL180101	ENSG00000103546
CHEMBL2108581	ENSG00000198851
CHEMBL2108581	ENSG00000160654
CHEMBL2108581	ENSG00000167286
CHEMBL2103851	ENSG00000122025
CHEMBL1201051	ENSG00000113749
CHEMBL30	ENSG00000113749
CHEMBL49429	ENSG00000126895
CHEMBL1650	ENSG00000113580
CHEMBL1200940	ENSG00000166736
CHEMBL86	ENSG00000166736
CHEMBL1201463	ENSG00000082556
CHEMBL1201463	ENSG00000116329
CHEMBL1201463	ENSG00000112038
CHEMBL485	ENSG00000082556
CHEMBL485	ENSG00000116329
CHEMBL485	ENSG00000112038
CHEMBL2051955	ENSG00000114854
CHEMBL2051955	ENSG00000129991
CHEMBL2051955	ENSG00000118194
CHEMBL3545083	ENSG00000170312
CHEMBL329123	ENSG00000132170
CHEMBL2105682	ENSG00000126218
CHEMBL1269025	ENSG00000126218
CHEMBL3678958	ENSG00000097007
CHEMBL272980	ENSG00000147099
CHEMBL3646118	ENSG00000269858
CHEMBL4297613	ENSG00000012504
CHEMBL2108072	ENSG00000122194
CHEMBL482950	ENSG00000120088
CHEMBL1743052	ENSG00000119888
CHEMBL3189072	ENSG00000259207
CHEMBL3189072	ENSG00000005961
CHEMBL916	ENSG00000259207
CHEMBL916	ENSG00000005961
CHEMBL1059	ENSG00000196557
CHEMBL1059	ENSG00000153956
CHEMBL1059	ENSG00000151067
CHEMBL1059	ENSG00000157445
CHEMBL1059	ENSG00000081248
CHEMBL1059	ENSG00000007402
CHEMBL1059	ENSG00000157388
CHEMBL1059	ENSG00000141837
CHEMBL1059	ENSG00000148408
CHEMBL1059	ENSG00000006283
CHEMBL1059	ENSG00000151062
CHEMBL1059	ENSG00000100346
CHEMBL1059	ENSG00000102001
CHEMBL1059	ENSG00000198216
CHEMBL1059	ENSG00000182389
CHEMBL1059	ENSG00000165995
CHEMBL1059	ENSG00000067191
CHEMBL1059	ENSG00000167535
CHEMBL1059	ENSG00000105605
CHEMBL1059	ENSG00000075429
CHEMBL1059	ENSG00000166862
CHEMBL1059	ENSG00000075461
CHEMBL1059	ENSG00000142408
CHEMBL1059	ENSG00000006116
CHEMBL1059	ENSG00000130433
CHEMBL1059	ENSG00000108878
CHEMBL1558	ENSG00000120907
CHEMBL1558	ENSG00000171873
CHEMBL1558	ENSG00000170214
CHEMBL2	ENSG00000120907
CHEMBL2	ENSG00000171873
CHEMBL2	ENSG00000170214
CHEMBL20	ENSG00000167434
CHEMBL837	ENSG00000198900
CHEMBL564829	ENSG00000123374
CHEMBL304902	ENSG00000069696
CHEMBL1200694	ENSG00000082482
CHEMBL3545048	ENSG00000171608
CHEMBL1940832	ENSG00000169252
CHEMBL4541964	ENSG00000113448
CHEMBL856	ENSG00000144285
CHEMBL856	ENSG00000183873
CHEMBL856	ENSG00000007314
CHEMBL856	ENSG00000136546
CHEMBL856	ENSG00000136531
CHEMBL856	ENSG00000169432
CHEMBL856	ENSG00000153253
CHEMBL856	ENSG00000168356
CHEMBL856	ENSG00000196876
CHEMBL856	ENSG00000185313
CHEMBL4297857	ENSG00000170425
CHEMBL4297748	ENSG00000109163
CHEMBL1908376	ENSG00000111424
CHEMBL1236936	ENSG00000061918
