drug	target
CHEMBL505	ENSG00000196639
CHEMBL328190	ENSG00000140009
CHEMBL328190	ENSG00000091831
CHEMBL2109621	ENSG00000138448
CHEMBL2109621	ENSG00000115221
CHEMBL848	ENSG00000113851
CHEMBL848	ENSG00000167986
CHEMBL848	ENSG00000139842
CHEMBL848	ENSG00000100387
CHEMBL2103795	ENSG00000144891
CHEMBL2028661	ENSG00000144891
CHEMBL1743022	ENSG00000092969
CHEMBL3039507	ENSG00000100170
CHEMBL2109434	ENSG00000198851
CHEMBL2109434	ENSG00000160654
CHEMBL2109434	ENSG00000167286
CHEMBL3545195	ENSG00000157764
CHEMBL628	ENSG00000170425
CHEMBL628	ENSG00000128271
CHEMBL1908391	ENSG00000068078
CHEMBL500	ENSG00000169252
CHEMBL1200478	ENSG00000144285
CHEMBL1200478	ENSG00000183873
CHEMBL1200478	ENSG00000007314
CHEMBL1200478	ENSG00000136546
CHEMBL1200478	ENSG00000136531
CHEMBL1200478	ENSG00000169432
CHEMBL1200478	ENSG00000153253
CHEMBL1200478	ENSG00000168356
CHEMBL1200478	ENSG00000196876
CHEMBL1200478	ENSG00000185313
CHEMBL1201217	ENSG00000144285
CHEMBL1201217	ENSG00000183873
CHEMBL1201217	ENSG00000007314
CHEMBL1201217	ENSG00000136546
CHEMBL1201217	ENSG00000136531
CHEMBL1201217	ENSG00000169432
CHEMBL1201217	ENSG00000153253
CHEMBL1201217	ENSG00000168356
CHEMBL1201217	ENSG00000196876
CHEMBL1201217	ENSG00000185313
CHEMBL435	ENSG00000070915
CHEMBL1200875	ENSG00000113231
CHEMBL1200875	ENSG00000073417
CHEMBL1493	ENSG00000113231
CHEMBL1493	ENSG00000073417
CHEMBL2104449	ENSG00000187486
CHEMBL2104449	ENSG00000069431
CHEMBL2104449	ENSG00000006071
CHEMBL2104449	ENSG00000121361
CHEMBL4297718	ENSG00000101017
CHEMBL1743077	ENSG00000041982
CHEMBL2108791	ENSG00000122194
CHEMBL672	ENSG00000186951
CHEMBL180022	ENSG00000141736
CHEMBL2103849	ENSG00000138735
CHEMBL4297774	ENSG00000105976
CHEMBL3545372	ENSG00000188229
CHEMBL3545372	ENSG00000101162
CHEMBL3545372	ENSG00000198033
CHEMBL3545372	ENSG00000127824
CHEMBL3545372	ENSG00000258947
CHEMBL3545372	ENSG00000167552
CHEMBL3545372	ENSG00000104833
CHEMBL3545372	ENSG00000261456
CHEMBL3545372	ENSG00000196230
CHEMBL3545372	ENSG00000123416
CHEMBL3545372	ENSG00000167553
CHEMBL3545372	ENSG00000152086
CHEMBL3545372	ENSG00000137267
CHEMBL3545372	ENSG00000137285
CHEMBL3545372	ENSG00000176014
CHEMBL3545063	ENSG00000146648
CHEMBL3353410	ENSG00000146648
CHEMBL279785	ENSG00000149968
CHEMBL1615369	ENSG00000180210
CHEMBL539697	ENSG00000180210
CHEMBL1201414	ENSG00000117601
CHEMBL3544959	ENSG00000182578
CHEMBL3545216	ENSG00000112062
CHEMBL93747	ENSG00000132170
CHEMBL3989805	ENSG00000135312
CHEMBL3185463	ENSG00000135312
CHEMBL1969664	ENSG00000105723
CHEMBL1969664	ENSG00000082701
CHEMBL4297440	ENSG00000188229
CHEMBL4297440	ENSG00000101162
CHEMBL4297440	ENSG00000198033
CHEMBL4297440	ENSG00000127824
CHEMBL4297440	ENSG00000258947
CHEMBL4297440	ENSG00000167552
CHEMBL4297440	ENSG00000104833
CHEMBL4297440	ENSG00000261456
CHEMBL4297440	ENSG00000196230
CHEMBL4297440	ENSG00000123416
CHEMBL4297440	ENSG00000167553
CHEMBL4297440	ENSG00000152086
CHEMBL4297440	ENSG00000137267
CHEMBL4297440	ENSG00000137285
CHEMBL4297440	ENSG00000176014
CHEMBL1515	ENSG00000115705
CHEMBL4297778	ENSG00000177455
CHEMBL218166	ENSG00000149295
CHEMBL3833344	ENSG00000131747
CHEMBL4297630	ENSG00000112164
CHEMBL688	ENSG00000112038
CHEMBL596	ENSG00000112038
CHEMBL1201087	ENSG00000149295
CHEMBL3707400	ENSG00000176884
CHEMBL3707400	ENSG00000183454
CHEMBL3707400	ENSG00000273079
CHEMBL3707400	ENSG00000105464
CHEMBL3707400	ENSG00000116032
CHEMBL3707400	ENSG00000161509
CHEMBL3707400	ENSG00000198785
CHEMBL1200411	ENSG00000149295
CHEMBL1200411	ENSG00000151577
CHEMBL1200411	ENSG00000069696
CHEMBL589	ENSG00000149295
CHEMBL589	ENSG00000151577
CHEMBL589	ENSG00000069696
CHEMBL2108784	ENSG00000172270
CHEMBL2103875	ENSG00000126934
CHEMBL2103875	ENSG00000169032
CHEMBL1199307	ENSG00000087085
CHEMBL1200750	ENSG00000196639
CHEMBL643	ENSG00000196639
CHEMBL4650291	ENSG00000066468
CHEMBL378544	ENSG00000188229
CHEMBL378544	ENSG00000101162
CHEMBL378544	ENSG00000198033
CHEMBL378544	ENSG00000127824
CHEMBL378544	ENSG00000258947
CHEMBL378544	ENSG00000167552
CHEMBL378544	ENSG00000104833
CHEMBL378544	ENSG00000261456
CHEMBL378544	ENSG00000196230
CHEMBL378544	ENSG00000123416
CHEMBL378544	ENSG00000167553
CHEMBL378544	ENSG00000152086
CHEMBL378544	ENSG00000137267
CHEMBL378544	ENSG00000137285
CHEMBL378544	ENSG00000176014
CHEMBL159	ENSG00000188229
CHEMBL159	ENSG00000101162
CHEMBL159	ENSG00000198033
CHEMBL159	ENSG00000127824
CHEMBL159	ENSG00000258947
CHEMBL159	ENSG00000167552
CHEMBL159	ENSG00000104833
CHEMBL159	ENSG00000261456
CHEMBL159	ENSG00000196230
CHEMBL159	ENSG00000123416
CHEMBL159	ENSG00000167553
CHEMBL159	ENSG00000152086
CHEMBL159	ENSG00000137267
CHEMBL159	ENSG00000137285
CHEMBL159	ENSG00000176014
CHEMBL266510	ENSG00000156113
CHEMBL3545301	ENSG00000165025
CHEMBL1201420	ENSG00000122194
CHEMBL1950289	ENSG00000050748
CHEMBL539770	ENSG00000133019
CHEMBL539770	ENSG00000180720
CHEMBL539770	ENSG00000168539
CHEMBL539770	ENSG00000181072
CHEMBL539770	ENSG00000184984
CHEMBL363295	ENSG00000133019
CHEMBL363295	ENSG00000180720
CHEMBL363295	ENSG00000168539
CHEMBL363295	ENSG00000181072
CHEMBL363295	ENSG00000184984
CHEMBL3186011	ENSG00000141510
CHEMBL71	ENSG00000102468
CHEMBL1795072	ENSG00000148408
CHEMBL1743082	ENSG00000188229
CHEMBL1743082	ENSG00000101162
CHEMBL1743082	ENSG00000198033
CHEMBL1743082	ENSG00000127824
CHEMBL1743082	ENSG00000258947
CHEMBL1743082	ENSG00000167552
CHEMBL1743082	ENSG00000104833
CHEMBL1743082	ENSG00000261456
CHEMBL1743082	ENSG00000196230
CHEMBL1743082	ENSG00000123416
CHEMBL1743082	ENSG00000167553
CHEMBL1743082	ENSG00000152086
CHEMBL1743082	ENSG00000137267
CHEMBL1743082	ENSG00000137285
CHEMBL1743082	ENSG00000176014
CHEMBL103	ENSG00000082175
CHEMBL1201740	ENSG00000186716
CHEMBL255863	ENSG00000186716
CHEMBL1257040	ENSG00000147246
CHEMBL422	ENSG00000147246
CHEMBL3084748	ENSG00000133019
CHEMBL1888176	ENSG00000133019
CHEMBL1200561	ENSG00000120907
CHEMBL1200561	ENSG00000171873
CHEMBL1200561	ENSG00000170214
CHEMBL707	ENSG00000120907
CHEMBL707	ENSG00000171873
CHEMBL707	ENSG00000170214
CHEMBL4298197	ENSG00000132855
CHEMBL1404	ENSG00000007314
CHEMBL4297427	ENSG00000125510
CHEMBL1671	ENSG00000043591
CHEMBL27	ENSG00000043591
CHEMBL2109379	ENSG00000169245
CHEMBL1201770	ENSG00000112038
CHEMBL1186579	ENSG00000112038
CHEMBL1201777	ENSG00000112038
CHEMBL1201776	ENSG00000112038
CHEMBL592054	ENSG00000186951
CHEMBL2165620	ENSG00000106633
CHEMBL2109539	ENSG00000169174
CHEMBL1201063	ENSG00000043591
CHEMBL631	ENSG00000043591
CHEMBL314437	ENSG00000112038
CHEMBL74355	ENSG00000102468
CHEMBL2108592	ENSG00000185499
CHEMBL1713	ENSG00000102468
CHEMBL4081711	ENSG00000198001
CHEMBL2104954	ENSG00000126934
CHEMBL1200877	ENSG00000113580
CHEMBL1201006	ENSG00000196639
CHEMBL511	ENSG00000196639
CHEMBL1201541	ENSG00000171105
CHEMBL4594456	ENSG00000163599
CHEMBL3707324	ENSG00000049249
CHEMBL1200870	ENSG00000043591
CHEMBL499	ENSG00000043591
CHEMBL384467	ENSG00000113580
CHEMBL272980	ENSG00000163517
CHEMBL4297181	ENSG00000145675
CHEMBL4297181	ENSG00000051382
CHEMBL4297181	ENSG00000105851
CHEMBL4297181	ENSG00000121879
CHEMBL4297181	ENSG00000105647
CHEMBL4297181	ENSG00000171608
CHEMBL4297181	ENSG00000141506
CHEMBL4297181	ENSG00000117461
CHEMBL178803	ENSG00000149295
CHEMBL3039502	ENSG00000105851
CHEMBL1817709	ENSG00000166148
CHEMBL1200419	ENSG00000149295
CHEMBL460	ENSG00000149295
CHEMBL2109390	ENSG00000146648
CHEMBL2218917	ENSG00000168539
CHEMBL168815	ENSG00000168539
CHEMBL4650402	ENSG00000186868
CHEMBL1200848	ENSG00000082175
CHEMBL2109398	ENSG00000044524
CHEMBL1201190	ENSG00000196639
CHEMBL1201191	ENSG00000196639
CHEMBL2109193	ENSG00000172270
CHEMBL1289926	ENSG00000102755
CHEMBL1289926	ENSG00000037280
CHEMBL1289926	ENSG00000128052
CHEMBL1272	ENSG00000187486
CHEMBL1272	ENSG00000006071
CHEMBL10316	ENSG00000150594
CHEMBL10316	ENSG00000184160
CHEMBL10316	ENSG00000274286
CHEMBL3707183	ENSG00000144285
CHEMBL3707183	ENSG00000183873
CHEMBL3707183	ENSG00000007314
CHEMBL3707183	ENSG00000136546
CHEMBL3707183	ENSG00000136531
CHEMBL3707183	ENSG00000169432
CHEMBL3707183	ENSG00000153253
CHEMBL3707183	ENSG00000168356
CHEMBL3707183	ENSG00000196876
CHEMBL3707183	ENSG00000185313
CHEMBL1294	ENSG00000144285
CHEMBL1294	ENSG00000183873
CHEMBL1294	ENSG00000007314
CHEMBL1294	ENSG00000136546
CHEMBL1294	ENSG00000136531
CHEMBL1294	ENSG00000169432
CHEMBL1294	ENSG00000153253
CHEMBL1294	ENSG00000168356
CHEMBL1294	ENSG00000196876
CHEMBL1294	ENSG00000185313
CHEMBL231616	ENSG00000167325
CHEMBL231616	ENSG00000048392
CHEMBL190412	ENSG00000105835
CHEMBL1181731	ENSG00000105835
CHEMBL1201728	ENSG00000103546
CHEMBL1118	ENSG00000103546
CHEMBL91829	ENSG00000166501
CHEMBL1915540	ENSG00000134489
CHEMBL400599	ENSG00000057252
CHEMBL3545176	ENSG00000112033
CHEMBL2012520	ENSG00000043591
CHEMBL1201044	ENSG00000120907
CHEMBL1201216	ENSG00000120907
CHEMBL1767408	ENSG00000186912
CHEMBL221326	ENSG00000186912
CHEMBL277474	ENSG00000095303
CHEMBL3989516	ENSG00000165025
CHEMBL2103830	ENSG00000165025
CHEMBL3039507	ENSG00000140675
CHEMBL1201827	ENSG00000146648
CHEMBL574737	ENSG00000135446
CHEMBL2109545	ENSG00000119630
CHEMBL84158	ENSG00000149295
CHEMBL1200330	ENSG00000168539
CHEMBL550	ENSG00000168539
CHEMBL3989826	ENSG00000112038
CHEMBL1200803	ENSG00000181072
CHEMBL1734	ENSG00000181072
CHEMBL3544935	ENSG00000105221
CHEMBL3544935	ENSG00000117020
CHEMBL3544935	ENSG00000142208
CHEMBL1561	ENSG00000257335
CHEMBL2109072	ENSG00000171560
CHEMBL2109072	ENSG00000171564
CHEMBL2109072	ENSG00000171557
CHEMBL2107823	ENSG00000096968
CHEMBL185	ENSG00000176890
CHEMBL2105729	ENSG00000157764
CHEMBL2028663	ENSG00000157764
CHEMBL3545076	ENSG00000108443
CHEMBL4297841	ENSG00000188229
CHEMBL4297841	ENSG00000101162
CHEMBL4297841	ENSG00000198033
CHEMBL4297841	ENSG00000127824
CHEMBL4297841	ENSG00000258947
CHEMBL4297841	ENSG00000167552
CHEMBL4297841	ENSG00000104833
CHEMBL4297841	ENSG00000261456
CHEMBL4297841	ENSG00000196230
CHEMBL4297841	ENSG00000123416
CHEMBL4297841	ENSG00000167553
CHEMBL4297841	ENSG00000152086
CHEMBL4297841	ENSG00000137267
CHEMBL4297841	ENSG00000137285
CHEMBL4297841	ENSG00000176014
CHEMBL521589	ENSG00000169252
CHEMBL1742991	ENSG00000091181
CHEMBL1743058	ENSG00000142192
CHEMBL1200395	ENSG00000176884
CHEMBL1200395	ENSG00000183454
CHEMBL1200395	ENSG00000273079
CHEMBL1200395	ENSG00000105464
CHEMBL1200395	ENSG00000116032
CHEMBL1200395	ENSG00000161509
CHEMBL1200395	ENSG00000198785
CHEMBL900	ENSG00000176884
CHEMBL900	ENSG00000183454
CHEMBL900	ENSG00000273079
CHEMBL900	ENSG00000105464
CHEMBL900	ENSG00000116032
CHEMBL900	ENSG00000161509
CHEMBL900	ENSG00000198785
CHEMBL1257040	ENSG00000102468
CHEMBL422	ENSG00000102468
CHEMBL1421	ENSG00000157404
CHEMBL1200382	ENSG00000196557
CHEMBL1200382	ENSG00000153956
CHEMBL1200382	ENSG00000151067
CHEMBL1200382	ENSG00000157445
CHEMBL1200382	ENSG00000081248
CHEMBL1200382	ENSG00000007402
CHEMBL1200382	ENSG00000157388
CHEMBL1200382	ENSG00000141837
CHEMBL1200382	ENSG00000148408
CHEMBL1200382	ENSG00000006283
CHEMBL1200382	ENSG00000151062
CHEMBL1200382	ENSG00000100346
CHEMBL1200382	ENSG00000102001
CHEMBL1200382	ENSG00000198216
CHEMBL1200382	ENSG00000182389
CHEMBL1200382	ENSG00000165995
CHEMBL1200382	ENSG00000067191
CHEMBL1200382	ENSG00000167535
CHEMBL1200382	ENSG00000105605
CHEMBL1200382	ENSG00000075429
CHEMBL1200382	ENSG00000166862
CHEMBL1200382	ENSG00000075461
CHEMBL1200382	ENSG00000142408
CHEMBL1200382	ENSG00000006116
CHEMBL1200382	ENSG00000130433
CHEMBL1200382	ENSG00000108878
CHEMBL1008	ENSG00000196557
CHEMBL1008	ENSG00000153956
CHEMBL1008	ENSG00000151067
CHEMBL1008	ENSG00000157445
CHEMBL1008	ENSG00000081248
CHEMBL1008	ENSG00000007402
CHEMBL1008	ENSG00000157388
CHEMBL1008	ENSG00000141837
CHEMBL1008	ENSG00000148408
CHEMBL1008	ENSG00000006283
CHEMBL1008	ENSG00000151062
CHEMBL1008	ENSG00000100346
CHEMBL1008	ENSG00000102001
CHEMBL1008	ENSG00000198216
CHEMBL1008	ENSG00000182389
CHEMBL1008	ENSG00000165995
CHEMBL1008	ENSG00000067191
CHEMBL1008	ENSG00000167535
CHEMBL1008	ENSG00000105605
CHEMBL1008	ENSG00000075429
CHEMBL1008	ENSG00000166862
CHEMBL1008	ENSG00000075461
CHEMBL1008	ENSG00000142408
CHEMBL1008	ENSG00000006116
CHEMBL1008	ENSG00000130433
CHEMBL1008	ENSG00000108878
CHEMBL1198855	ENSG00000036828
CHEMBL3833357	ENSG00000197635
CHEMBL654	ENSG00000150594
CHEMBL654	ENSG00000184160
CHEMBL654	ENSG00000274286
CHEMBL3545134	ENSG00000105221
CHEMBL3545134	ENSG00000117020
CHEMBL3545134	ENSG00000142208
CHEMBL3545276	ENSG00000186951
CHEMBL2108018	ENSG00000119888
CHEMBL4594454	ENSG00000134318
CHEMBL4594454	ENSG00000067900
CHEMBL3426621	ENSG00000134318
CHEMBL3426621	ENSG00000067900
CHEMBL284838	ENSG00000172572
CHEMBL284838	ENSG00000152270
CHEMBL1200984	ENSG00000151067
CHEMBL1200984	ENSG00000081248
CHEMBL1200984	ENSG00000157388
CHEMBL1200984	ENSG00000102001
CHEMBL521686	ENSG00000143799
CHEMBL521686	ENSG00000041880
CHEMBL521686	ENSG00000129484
CHEMBL3301626	ENSG00000168959
CHEMBL272621	ENSG00000025434
CHEMBL1046	ENSG00000104368
CHEMBL188952	ENSG00000073756
CHEMBL188952	ENSG00000095303
CHEMBL4594357	ENSG00000159958
CHEMBL3833321	ENSG00000142192
CHEMBL2105759	ENSG00000096968
CHEMBL3545020	ENSG00000132170
CHEMBL2103975	ENSG00000180616
CHEMBL506981	ENSG00000101188
CHEMBL1389	ENSG00000082175
CHEMBL225157	ENSG00000136869
CHEMBL2105728	ENSG00000122025
CHEMBL4297987	ENSG00000167601
CHEMBL30219	ENSG00000022355
CHEMBL30219	ENSG00000145864
CHEMBL30219	ENSG00000113327
CHEMBL30219	ENSG00000166206
CHEMBL30219	ENSG00000109158
CHEMBL30219	ENSG00000182256
CHEMBL30219	ENSG00000268089
CHEMBL30219	ENSG00000011677
CHEMBL30219	ENSG00000094755
CHEMBL30219	ENSG00000187730
CHEMBL30219	ENSG00000163285
CHEMBL30219	ENSG00000163288
CHEMBL30219	ENSG00000102287
CHEMBL30219	ENSG00000151834
CHEMBL30219	ENSG00000186297
CHEMBL30219	ENSG00000145863
CHEMBL7413	ENSG00000022355
CHEMBL7413	ENSG00000145864
CHEMBL7413	ENSG00000113327
CHEMBL7413	ENSG00000166206
CHEMBL7413	ENSG00000109158
CHEMBL7413	ENSG00000182256
CHEMBL7413	ENSG00000268089
CHEMBL7413	ENSG00000011677
CHEMBL7413	ENSG00000094755
CHEMBL7413	ENSG00000187730
CHEMBL7413	ENSG00000163285
CHEMBL7413	ENSG00000163288
CHEMBL7413	ENSG00000102287
CHEMBL7413	ENSG00000151834
CHEMBL7413	ENSG00000186297
CHEMBL7413	ENSG00000145863
CHEMBL856	ENSG00000022355
CHEMBL856	ENSG00000145864
CHEMBL856	ENSG00000113327
CHEMBL856	ENSG00000166206
CHEMBL856	ENSG00000109158
CHEMBL856	ENSG00000182256
CHEMBL856	ENSG00000268089
CHEMBL856	ENSG00000011677
CHEMBL856	ENSG00000094755
CHEMBL856	ENSG00000187730
CHEMBL856	ENSG00000163285
CHEMBL856	ENSG00000163288
CHEMBL856	ENSG00000102287
CHEMBL856	ENSG00000151834
CHEMBL856	ENSG00000186297
CHEMBL856	ENSG00000145863
CHEMBL589583	ENSG00000159640
CHEMBL93645	ENSG00000073756
CHEMBL3707393	ENSG00000160882
CHEMBL3099695	ENSG00000160882
CHEMBL4594301	ENSG00000022355
CHEMBL4594301	ENSG00000145864
CHEMBL4594301	ENSG00000113327
CHEMBL4594301	ENSG00000166206
CHEMBL4594301	ENSG00000109158
CHEMBL4594301	ENSG00000182256
CHEMBL4594301	ENSG00000268089
CHEMBL4594301	ENSG00000011677
CHEMBL4594301	ENSG00000094755
CHEMBL4594301	ENSG00000187730
CHEMBL4594301	ENSG00000163285
CHEMBL4594301	ENSG00000163288
CHEMBL4594301	ENSG00000102287
CHEMBL4594301	ENSG00000151834
CHEMBL4594301	ENSG00000186297
CHEMBL4594301	ENSG00000145863
CHEMBL4297526	ENSG00000022355
CHEMBL4297526	ENSG00000145864
CHEMBL4297526	ENSG00000113327
CHEMBL4297526	ENSG00000166206
CHEMBL4297526	ENSG00000109158
CHEMBL4297526	ENSG00000182256
CHEMBL4297526	ENSG00000268089
CHEMBL4297526	ENSG00000011677
CHEMBL4297526	ENSG00000094755
CHEMBL4297526	ENSG00000187730
CHEMBL4297526	ENSG00000163285
CHEMBL4297526	ENSG00000163288
CHEMBL4297526	ENSG00000102287
CHEMBL4297526	ENSG00000151834
CHEMBL4297526	ENSG00000186297
CHEMBL4297526	ENSG00000145863
CHEMBL4650436	ENSG00000102755
CHEMBL1201828	ENSG00000106804
CHEMBL2103842	ENSG00000141736
CHEMBL1255739	ENSG00000196639
CHEMBL1411979	ENSG00000196639
CHEMBL1742420	ENSG00000213903
CHEMBL4298009	ENSG00000089692
CHEMBL877	ENSG00000122194
CHEMBL4594618	ENSG00000177455
CHEMBL711	ENSG00000167397
CHEMBL3260567	ENSG00000106799
CHEMBL1694	ENSG00000159640
CHEMBL838	ENSG00000159640
CHEMBL3545382	ENSG00000105639
CHEMBL3039556	ENSG00000106211
CHEMBL2408045	ENSG00000146648
CHEMBL431651	ENSG00000136160
CHEMBL511115	ENSG00000065989
CHEMBL511115	ENSG00000113448
CHEMBL511115	ENSG00000184588
CHEMBL511115	ENSG00000105650
CHEMBL3989990	ENSG00000065361
CHEMBL3183740	ENSG00000102468
CHEMBL3545274	ENSG00000140009
CHEMBL3545274	ENSG00000091831
CHEMBL3989680	ENSG00000112038
CHEMBL628	ENSG00000138735
CHEMBL628	ENSG00000065989
CHEMBL628	ENSG00000172572
CHEMBL628	ENSG00000139053
CHEMBL628	ENSG00000185527
CHEMBL628	ENSG00000186642
CHEMBL628	ENSG00000205268
CHEMBL628	ENSG00000115252
CHEMBL628	ENSG00000160191
CHEMBL628	ENSG00000133256
CHEMBL628	ENSG00000113448
CHEMBL628	ENSG00000184588
CHEMBL628	ENSG00000156973
CHEMBL628	ENSG00000132915
CHEMBL628	ENSG00000152270
CHEMBL628	ENSG00000095464
CHEMBL628	ENSG00000113231
CHEMBL628	ENSG00000112541
CHEMBL628	ENSG00000123360
CHEMBL628	ENSG00000105650
CHEMBL628	ENSG00000154678
CHEMBL628	ENSG00000073417
CHEMBL628	ENSG00000171408
CHEMBL217092	ENSG00000097007
CHEMBL1531	ENSG00000082175
CHEMBL1201448	ENSG00000117601
CHEMBL2109410	ENSG00000185010
CHEMBL967	ENSG00000022355
CHEMBL967	ENSG00000145864
CHEMBL967	ENSG00000113327
CHEMBL967	ENSG00000166206
CHEMBL967	ENSG00000109158
CHEMBL967	ENSG00000182256
CHEMBL967	ENSG00000268089
CHEMBL967	ENSG00000011677
CHEMBL967	ENSG00000094755
CHEMBL967	ENSG00000187730
CHEMBL967	ENSG00000163285
CHEMBL967	ENSG00000163288
CHEMBL967	ENSG00000102287
CHEMBL967	ENSG00000151834
CHEMBL967	ENSG00000186297
CHEMBL967	ENSG00000145863
CHEMBL1095	ENSG00000144285
CHEMBL1095	ENSG00000183873
CHEMBL1095	ENSG00000007314
CHEMBL1095	ENSG00000136546
CHEMBL1095	ENSG00000136531
CHEMBL1095	ENSG00000169432
CHEMBL1095	ENSG00000153253
CHEMBL1095	ENSG00000168356
CHEMBL1095	ENSG00000196876
CHEMBL1095	ENSG00000185313
CHEMBL3545133	ENSG00000141736
CHEMBL3039540	ENSG00000142192
CHEMBL4297739	ENSG00000168610
CHEMBL3707374	ENSG00000180739
CHEMBL3707374	ENSG00000267534
CHEMBL3707374	ENSG00000125910
CHEMBL3707374	ENSG00000213694
CHEMBL3707374	ENSG00000170989
CHEMBL3707375	ENSG00000180739
CHEMBL3707375	ENSG00000267534
CHEMBL3707375	ENSG00000125910
CHEMBL3707375	ENSG00000213694
CHEMBL3707375	ENSG00000170989
CHEMBL1200974	ENSG00000196639
CHEMBL864	ENSG00000196639
CHEMBL467888	ENSG00000169083
CHEMBL1200322	ENSG00000108576
CHEMBL1508	ENSG00000108576
CHEMBL1201747	ENSG00000196639
CHEMBL2108151	ENSG00000146242
CHEMBL559478	ENSG00000175344
CHEMBL2107358	ENSG00000258643
CHEMBL2107358	ENSG00000129473
CHEMBL408194	ENSG00000258643
CHEMBL408194	ENSG00000129473
CHEMBL972	ENSG00000069535
CHEMBL2107786	ENSG00000006638
CHEMBL1200914	ENSG00000120907
CHEMBL1200914	ENSG00000171873
CHEMBL1200914	ENSG00000170214
CHEMBL836	ENSG00000120907
CHEMBL836	ENSG00000171873
CHEMBL836	ENSG00000170214
CHEMBL494	ENSG00000160013
CHEMBL4298077	ENSG00000145335
CHEMBL3544960	ENSG00000162889
CHEMBL2109584	ENSG00000041982
CHEMBL118	ENSG00000073756
CHEMBL1200545	ENSG00000113580
CHEMBL4563522	ENSG00000065325
CHEMBL2218896	ENSG00000118432
CHEMBL1164729	ENSG00000158125
CHEMBL572878	ENSG00000178999
CHEMBL572878	ENSG00000105146
CHEMBL572878	ENSG00000087586
CHEMBL1200485	ENSG00000157764
CHEMBL1336	ENSG00000157764
CHEMBL1159717	ENSG00000169252
CHEMBL4297985	ENSG00000196776
CHEMBL1201035	ENSG00000168539
CHEMBL1101	ENSG00000168539
CHEMBL25263	ENSG00000132703
CHEMBL2103810	ENSG00000084207
CHEMBL2110585	ENSG00000084207
CHEMBL1513	ENSG00000144891
CHEMBL2095212	ENSG00000188778
CHEMBL405821	ENSG00000104783
CHEMBL345524	ENSG00000107317
CHEMBL608533	ENSG00000113721
CHEMBL608533	ENSG00000134853
CHEMBL49642	ENSG00000188229
CHEMBL49642	ENSG00000101162
CHEMBL49642	ENSG00000198033
CHEMBL49642	ENSG00000127824
CHEMBL49642	ENSG00000258947
CHEMBL49642	ENSG00000167552
CHEMBL49642	ENSG00000104833
CHEMBL49642	ENSG00000261456
CHEMBL49642	ENSG00000196230
CHEMBL49642	ENSG00000123416
CHEMBL49642	ENSG00000167553
CHEMBL49642	ENSG00000152086
CHEMBL49642	ENSG00000137267
CHEMBL49642	ENSG00000137285
CHEMBL49642	ENSG00000176014
CHEMBL3545165	ENSG00000168356
CHEMBL34259	ENSG00000228716
CHEMBL4297522	ENSG00000077782
CHEMBL1201467	ENSG00000140009
CHEMBL1201467	ENSG00000091831
CHEMBL4297163	ENSG00000173083
CHEMBL4594611	ENSG00000065361
CHEMBL2109401	ENSG00000065361
CHEMBL3545376	ENSG00000068078
CHEMBL3545376	ENSG00000077782
CHEMBL3545376	ENSG00000160867
CHEMBL3545376	ENSG00000066468
CHEMBL2109065	ENSG00000185010
CHEMBL272621	ENSG00000131408
CHEMBL2109355	ENSG00000167244
CHEMBL3989819	ENSG00000163485
CHEMBL3545285	ENSG00000122025
CHEMBL1097999	ENSG00000169032
CHEMBL289351	ENSG00000188229
CHEMBL289351	ENSG00000101162
CHEMBL289351	ENSG00000198033
CHEMBL289351	ENSG00000127824
CHEMBL289351	ENSG00000258947
CHEMBL289351	ENSG00000167552
CHEMBL289351	ENSG00000104833
CHEMBL289351	ENSG00000261456
CHEMBL289351	ENSG00000196230
CHEMBL289351	ENSG00000123416
CHEMBL289351	ENSG00000167553
CHEMBL289351	ENSG00000152086
CHEMBL289351	ENSG00000137267
CHEMBL289351	ENSG00000137285
CHEMBL289351	ENSG00000176014
CHEMBL1206232	ENSG00000188229
CHEMBL1206232	ENSG00000101162
CHEMBL1206232	ENSG00000198033
CHEMBL1206232	ENSG00000127824
CHEMBL1206232	ENSG00000258947
CHEMBL1206232	ENSG00000167552
CHEMBL1206232	ENSG00000104833
CHEMBL1206232	ENSG00000261456
CHEMBL1206232	ENSG00000196230
CHEMBL1206232	ENSG00000123416
CHEMBL1206232	ENSG00000167553
CHEMBL1206232	ENSG00000152086
CHEMBL1206232	ENSG00000137267
CHEMBL1206232	ENSG00000137285
CHEMBL1206232	ENSG00000176014
CHEMBL25336	ENSG00000140718
CHEMBL223360	ENSG00000182578
CHEMBL571948	ENSG00000134318
CHEMBL571948	ENSG00000067900
CHEMBL2095211	ENSG00000147246
CHEMBL360328	ENSG00000147246
CHEMBL4298205	ENSG00000181847
CHEMBL2104967	ENSG00000139626
CHEMBL1213583	ENSG00000082175
CHEMBL1339	ENSG00000138735
CHEMBL1520	ENSG00000138735
CHEMBL1201134	ENSG00000114859
CHEMBL271227	ENSG00000148795
CHEMBL3544962	ENSG00000122025
CHEMBL3989767	ENSG00000004948
CHEMBL1054	ENSG00000070915
CHEMBL3678076	ENSG00000144285
CHEMBL3678076	ENSG00000183873
CHEMBL3678076	ENSG00000007314
CHEMBL3678076	ENSG00000136546
CHEMBL3678076	ENSG00000136531
CHEMBL3678076	ENSG00000169432
CHEMBL3678076	ENSG00000153253
CHEMBL3678076	ENSG00000168356
CHEMBL3678076	ENSG00000196876
